r_model	r_value	combinations	p_value	p_model
{Bruno_JExpBio2016}	1	1_9_12_10	1	{Leber2015}
{Bruno_JExpBio2016}	1	1_9_16_08	1	{Leber2015}
{Bruno_JExpBio2016}	0	2_1_08_06	1	{Leber2015}
{Bruno_JExpBio2016}	0	2_1_10_14	1	{Leber2015}
{Bruno_JExpBio2016}	0	2_1_12_10	1	{Leber2015}
{Bruno_JExpBio2016}	0	2_1_16_08	1	{Leber2015}
{Bruno_JExpBio2016}	1	2_6_08_06	1	{Leber2015}
{Bruno_JExpBio2016}	1	2_6_10_14	1	{Leber2015}
{Bruno_JExpBio2016}	1	2_6_12_10	1	{Leber2015}
{Bruno_JExpBio2016}	1	2_6_16_08	1	{Leber2015}
{Bruno_JExpBio2016}	1	2_7_08_06	1	{Leber2015}
{Bruno_JExpBio2016}	1	2_7_10_14	1	{Leber2015}
{Bruno_JExpBio2016}	1	2_7_12_10	1	{Leber2015}
{Bruno_JExpBio2016}	1	2_7_16_08	1	{Leber2015}
{Bruno_JExpBio2016}	1	2_8_08_06	1	{Leber2015}
{Bruno_JExpBio2016}	1	2_8_10_14	1	{Leber2015}
{Bruno_JExpBio2016}	1	2_8_12_10	1	{Leber2015}
{Bruno_JExpBio2016}	1	2_8_16_08	1	{Leber2015}
{Bruno_JExpBio2016}	1	2_9_08_06	1	{Leber2015}
{Bruno_JExpBio2016}	1	2_9_10_14	1	{Leber2015}
{Bruno_JExpBio2016}	1	2_9_12_10	1	{Leber2015}
{Bruno_JExpBio2016}	1	2_9_16_08	1	{Leber2015}
{Chen_MSB2009}	0	1_1_08_06	0	{Bungay2003}
{Chen_MSB2009}	0	1_1_10_14	0	{Bungay2003}
{Chen_MSB2009}	0	1_1_12_10	0	{Bungay2003}
{Chen_MSB2009}	0	1_1_16_08	0	{Bungay2003}
{Chen_MSB2009}	1	1_6_08_06	0	{Bungay2003}
{Chen_MSB2009}	1	1_6_10_14	0	{Bungay2003}
{Chen_MSB2009}	1	1_6_12_10	0	{Bungay2003}
{Chen_MSB2009}	1	1_6_16_08	0	{Bungay2003}
{Chen_MSB2009}	1	1_7_08_06	0	{Bungay2003}
{Chen_MSB2009}	1	1_7_10_14	0	{Bungay2003}
{Chen_MSB2009}	1	1_7_12_10	0	{Bungay2003}
{Chen_MSB2009}	1	1_7_16_08	0	{Bungay2003}
{Chen_MSB2009}	1	1_8_08_06	0	{Bungay2003}
{Chen_MSB2009}	1	1_8_10_14	0	{Bungay2003}
{Chen_MSB2009}	1	1_8_12_10	0	{Bungay2003}
{Chen_MSB2009}	1	1_8_16_08	0	{Bungay2003}
{Chen_MSB2009}	1	1_9_08_06	0	{Bungay2003}
{Chen_MSB2009}	1	1_9_10_14	0	{Bungay2003}
{Chen_MSB2009}	1	1_9_12_10	0	{Bungay2003}
{Chen_MSB2009}	1	1_9_16_08	0	{Bungay2003}
{Chen_MSB2009}	0	2_1_08_06	0	{Bungay2003}
{Chen_MSB2009}	0	2_1_10_14	0	{Bungay2003}
{Chen_MSB2009}	0	2_1_12_10	0	{Bungay2003}
{Chen_MSB2009}	0	2_1_16_08	0	{Bungay2003}
{Chen_MSB2009}	1	2_6_08_06	0	{Bungay2003}
{Chen_MSB2009}	1	2_6_10_14	0	{Bungay2003}
{Chen_MSB2009}	1	2_6_12_10	0	{Bungay2003}
{Chen_MSB2009}	1	2_6_16_08	0	{Bungay2003}
{Chen_MSB2009}	1	2_7_08_06	0	{Bungay2003}
{Chen_MSB2009}	1	2_7_10_14	0	{Bungay2003}
{Chen_MSB2009}	1	2_7_12_10	0	{Bungay2003}
{Chen_MSB2009}	1	2_7_16_08	0	{Bungay2003}
{Chen_MSB2009}	1	2_8_08_06	0	{Bungay2003}
{Chen_MSB2009}	1	2_8_10_14	0	{Bungay2003}
{Chen_MSB2009}	1	2_8_12_10	0	{Bungay2003}
{Chen_MSB2009}	1	2_8_16_08	0	{Bungay2003}
{Chen_MSB2009}	1	2_9_08_06	0	{Bungay2003}
{Chen_MSB2009}	1	2_9_10_14	0	{Bungay2003}
{Chen_MSB2009}	1	2_9_12_10	0	{Bungay2003}
{Chen_MSB2009}	1	2_9_16_08	0	{Bungay2003}
{Crauste_CellSystems2017}	0	1_1_08_06	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	0	1_1_10_14	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	0	1_1_12_10	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	0	1_1_16_08	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	1_6_08_06	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	1_6_10_14	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	1_6_12_10	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	1_6_16_08	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	1_7_08_06	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	1_7_10_14	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	1_7_12_10	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	1_7_16_08	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	1_8_08_06	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	1_8_10_14	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	1_8_12_10	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	1_8_16_08	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	1_9_08_06	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	1_9_10_14	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	1_9_12_10	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	1_9_16_08	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	0	2_1_08_06	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	0	2_1_10_14	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	0	2_1_12_10	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	0	2_1_16_08	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	2_6_08_06	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	2_6_10_14	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	2_6_12_10	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	2_6_16_08	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	2_7_08_06	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	2_7_10_14	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	2_7_12_10	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	2_7_16_08	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	2_8_08_06	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	2_8_10_14	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	2_8_12_10	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	2_8_16_08	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	2_9_08_06	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	2_9_10_14	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	2_9_12_10	1	{alexander2010_fig2-user}
{Crauste_CellSystems2017}	1	2_9_16_08	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	0	1_1_08_06	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	0	1_1_10_14	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	0	1_1_12_10	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	0	1_1_16_08	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	1_6_08_06	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	1_6_10_14	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	1_6_12_10	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	1_6_16_08	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	1_7_08_06	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	1_7_10_14	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	1_7_12_10	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	1_7_16_08	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	1_8_08_06	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	1_8_10_14	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	1_8_12_10	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	1_8_16_08	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	1_9_08_06	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	1_9_10_14	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	1_9_12_10	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	1_9_16_08	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	0	2_1_08_06	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	0	2_1_10_14	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	0	2_1_12_10	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	0	2_1_16_08	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	2_6_08_06	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	2_6_10_14	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	2_6_12_10	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	2_6_16_08	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	2_7_08_06	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	2_7_10_14	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	2_7_12_10	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	2_7_16_08	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	2_8_08_06	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	2_8_10_14	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	2_8_12_10	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	2_8_16_08	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	2_9_08_06	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	2_9_10_14	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	2_9_12_10	1	{alexander2010_fig2-user}
{Elowitz_Nature2000}	1	2_9_16_08	1	{alexander2010_fig2-user}
{Fiedler_BMC2016}	0	1_1_08_06	1	{Lai2014}
{Fiedler_BMC2016}	0	1_1_10_14	1	{Lai2014}
{Fiedler_BMC2016}	0	1_1_12_10	1	{Lai2014}
{Fiedler_BMC2016}	0	1_1_16_08	1	{Lai2014}
{Fiedler_BMC2016}	1	1_6_08_06	1	{Lai2014}
{Fiedler_BMC2016}	1	1_6_10_14	1	{Lai2014}
{Fiedler_BMC2016}	1	1_6_12_10	1	{Lai2014}
{Fiedler_BMC2016}	1	1_6_16_08	1	{Lai2014}
{Fiedler_BMC2016}	1	1_7_08_06	1	{Lai2014}
{Fiedler_BMC2016}	1	1_7_10_14	1	{Lai2014}
{Fiedler_BMC2016}	1	1_7_12_10	1	{Lai2014}
{Fiedler_BMC2016}	1	1_7_16_08	1	{Lai2014}
{Fiedler_BMC2016}	1	1_8_08_06	1	{Lai2014}
{Fiedler_BMC2016}	1	1_8_10_14	1	{Lai2014}
{Fiedler_BMC2016}	1	1_8_12_10	1	{Lai2014}
{Fiedler_BMC2016}	0	1_8_16_08	1	{Lai2014}
{Fiedler_BMC2016}	1	1_9_08_06	1	{Lai2014}
{Fiedler_BMC2016}	1	1_9_10_14	1	{Lai2014}
{Fiedler_BMC2016}	1	1_9_12_10	1	{Lai2014}
{Fiedler_BMC2016}	1	1_9_16_08	1	{Lai2014}
{Fiedler_BMC2016}	0	2_1_08_06	1	{Lai2014}
{Fiedler_BMC2016}	0	2_1_10_14	1	{Lai2014}
{Fiedler_BMC2016}	0	2_1_12_10	1	{Lai2014}
{Fiedler_BMC2016}	0	2_1_16_08	1	{Lai2014}
{Fiedler_BMC2016}	1	2_6_08_06	1	{Lai2014}
{Fiedler_BMC2016}	1	2_6_10_14	1	{Lai2014}
{Fiedler_BMC2016}	1	2_6_12_10	1	{Lai2014}
{Fiedler_BMC2016}	1	2_6_16_08	1	{Lai2014}
{Fiedler_BMC2016}	1	2_7_08_06	1	{Lai2014}
{Fiedler_BMC2016}	1	2_7_10_14	1	{Lai2014}
{Fiedler_BMC2016}	1	2_7_12_10	1	{Lai2014}
{Fiedler_BMC2016}	1	2_7_16_08	1	{Lai2014}
{Fiedler_BMC2016}	1	2_8_08_06	1	{Lai2014}
{Fiedler_BMC2016}	1	2_8_10_14	1	{Lai2014}
{Fiedler_BMC2016}	1	2_8_12_10	1	{Lai2014}
{Fiedler_BMC2016}	1	2_8_16_08	1	{Lai2014}
{Fiedler_BMC2016}	1	2_9_08_06	1	{Lai2014}
{Fiedler_BMC2016}	1	2_9_10_14	1	{Lai2014}
{Fiedler_BMC2016}	1	2_9_12_10	1	{Lai2014}
{Fiedler_BMC2016}	1	2_9_16_08	1	{Lai2014}
{Fujita_SciSignal2010}	0	1_1_08_06	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	0	1_1_10_14	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	0	1_1_12_10	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	0	1_1_16_08	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	1_6_08_06	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	1_6_10_14	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	1_6_12_10	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	1_6_16_08	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	1_7_08_06	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	1_7_10_14	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	1_7_12_10	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	1_7_16_08	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	1_8_08_06	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	1_8_10_14	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	1_8_12_10	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	1_8_16_08	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	1_9_08_06	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	1_9_10_14	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	1_9_12_10	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	1_9_16_08	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	0	2_1_08_06	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	0	2_1_10_14	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	0	2_1_12_10	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	0	2_1_16_08	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	2_6_08_06	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	2_6_10_14	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	2_6_12_10	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	2_6_16_08	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	2_7_08_06	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	2_7_10_14	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	2_7_12_10	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	2_7_16_08	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	2_8_08_06	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	2_8_10_14	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	2_8_12_10	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	2_8_16_08	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	2_9_08_06	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	2_9_10_14	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	2_9_12_10	1	{alexander2010_fig2-user}
{Fujita_SciSignal2010}	1	2_9_16_08	1	{alexander2010_fig2-user}
{Hass_PONE2017}	0	1_1_08_06	1	{Leber2015}
{Hass_PONE2017}	0	1_1_10_14	1	{Leber2015}
{Hass_PONE2017}	0	1_1_12_10	1	{Leber2015}
{Hass_PONE2017}	0	1_1_16_08	1	{Leber2015}
{Hass_PONE2017}	1	1_6_08_06	1	{Leber2015}
{Hass_PONE2017}	0	1_6_10_14	1	{Leber2015}
{Hass_PONE2017}	1	1_6_12_10	1	{Leber2015}
{Hass_PONE2017}	0	1_6_16_08	1	{Leber2015}
{Hass_PONE2017}	1	1_7_08_06	1	{Leber2015}
{Hass_PONE2017}	1	1_7_10_14	1	{Leber2015}
{Hass_PONE2017}	1	1_7_12_10	1	{Leber2015}
{Hass_PONE2017}	1	1_7_16_08	1	{Leber2015}
{Hass_PONE2017}	1	1_8_08_06	1	{Leber2015}
{Hass_PONE2017}	0	1_8_10_14	1	{Leber2015}
{Hass_PONE2017}	0	1_8_12_10	1	{Leber2015}
{Hass_PONE2017}	1	1_8_16_08	1	{Leber2015}
{Hass_PONE2017}	1	1_9_08_06	1	{Leber2015}
{Hass_PONE2017}	1	1_9_10_14	1	{Leber2015}
{Hass_PONE2017}	1	1_9_12_10	1	{Leber2015}
{Hass_PONE2017}	1	1_9_16_08	1	{Leber2015}
{Hass_PONE2017}	0	2_1_08_06	1	{Leber2015}
{Hass_PONE2017}	0	2_1_10_14	1	{Leber2015}
{Hass_PONE2017}	0	2_1_12_10	1	{Leber2015}
{Hass_PONE2017}	0	2_1_16_08	1	{Leber2015}
{Hass_PONE2017}	1	2_6_08_06	1	{Leber2015}
{Hass_PONE2017}	1	2_6_10_14	1	{Leber2015}
{Hass_PONE2017}	1	2_6_12_10	1	{Leber2015}
{Hass_PONE2017}	1	2_6_16_08	1	{Leber2015}
{Hass_PONE2017}	1	2_7_08_06	1	{Leber2015}
{Hass_PONE2017}	1	2_7_10_14	1	{Leber2015}
{Hass_PONE2017}	1	2_7_12_10	1	{Leber2015}
{Hass_PONE2017}	1	2_7_16_08	1	{Leber2015}
{Hass_PONE2017}	1	2_8_08_06	1	{Leber2015}
{Hass_PONE2017}	1	2_8_10_14	1	{Leber2015}
{Hass_PONE2017}	1	2_8_12_10	1	{Leber2015}
{Hass_PONE2017}	1	2_8_16_08	1	{Leber2015}
{Hass_PONE2017}	1	2_9_08_06	1	{Leber2015}
{Hass_PONE2017}	1	2_9_10_14	1	{Leber2015}
{Hass_PONE2017}	1	2_9_12_10	1	{Leber2015}
{Hass_PONE2017}	1	2_9_16_08	1	{Leber2015}
{Isensee_JCB2018}	0	1_1_08_06	1	{Leber2015}
{Isensee_JCB2018}	0	1_1_10_14	1	{Leber2015}
{Isensee_JCB2018}	0	1_1_12_10	1	{Leber2015}
{Isensee_JCB2018}	0	1_1_16_08	1	{Leber2015}
{Isensee_JCB2018}	1	1_6_08_06	1	{Leber2015}
{Isensee_JCB2018}	0	1_6_10_14	1	{Leber2015}
{Isensee_JCB2018}	1	1_6_12_10	1	{Leber2015}
{Isensee_JCB2018}	0	1_6_16_08	1	{Leber2015}
{Isensee_JCB2018}	1	1_7_08_06	1	{Leber2015}
{Isensee_JCB2018}	1	1_7_10_14	1	{Leber2015}
{Isensee_JCB2018}	1	1_7_12_10	1	{Leber2015}
{Isensee_JCB2018}	1	1_7_16_08	1	{Leber2015}
{Isensee_JCB2018}	1	1_8_08_06	1	{Leber2015}
{Isensee_JCB2018}	0	1_8_10_14	1	{Leber2015}
{Isensee_JCB2018}	0	1_8_12_10	1	{Leber2015}
{Isensee_JCB2018}	1	1_8_16_08	1	{Leber2015}
{Isensee_JCB2018}	1	1_9_08_06	1	{Leber2015}
{Isensee_JCB2018}	1	1_9_10_14	1	{Leber2015}
{Isensee_JCB2018}	1	1_9_12_10	1	{Leber2015}
{Isensee_JCB2018}	1	1_9_16_08	1	{Leber2015}
{Isensee_JCB2018}	0	2_1_08_06	1	{Leber2015}
{Isensee_JCB2018}	0	2_1_10_14	1	{Leber2015}
{Isensee_JCB2018}	0	2_1_12_10	1	{Leber2015}
{Isensee_JCB2018}	0	2_1_16_08	1	{Leber2015}
{Isensee_JCB2018}	1	2_6_08_06	1	{Leber2015}
{Isensee_JCB2018}	1	2_6_10_14	1	{Leber2015}
{Isensee_JCB2018}	1	2_6_12_10	1	{Leber2015}
{Isensee_JCB2018}	1	2_6_16_08	1	{Leber2015}
{Isensee_JCB2018}	1	2_7_08_06	1	{Leber2015}
{Isensee_JCB2018}	1	2_7_10_14	1	{Leber2015}
{Isensee_JCB2018}	1	2_7_12_10	1	{Leber2015}
{Isensee_JCB2018}	1	2_7_16_08	1	{Leber2015}
{Isensee_JCB2018}	1	2_8_08_06	1	{Leber2015}
{Isensee_JCB2018}	1	2_8_10_14	1	{Leber2015}
{Isensee_JCB2018}	1	2_8_12_10	1	{Leber2015}
{Isensee_JCB2018}	1	2_8_16_08	1	{Leber2015}
{Isensee_JCB2018}	1	2_9_08_06	1	{Leber2015}
{Isensee_JCB2018}	1	2_9_10_14	1	{Leber2015}
{Isensee_JCB2018}	1	2_9_12_10	1	{Leber2015}
{Isensee_JCB2018}	1	2_9_16_08	1	{Leber2015}
{Lucarelli_CellSystems2018}	0	1_1_08_06	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	0	1_1_10_14	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	0	1_1_12_10	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	0	1_1_16_08	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	1	1_6_08_06	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	0	1_6_10_14	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	0	1_6_12_10	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	1	1_6_16_08	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	1	1_7_08_06	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	0	1_7_10_14	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	0	1_7_12_10	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	1	1_7_16_08	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	1	1_8_08_06	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	0	1_8_10_14	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	0	1_8_12_10	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	1	1_8_16_08	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	1	1_9_08_06	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	0	1_9_10_14	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	0	1_9_12_10	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	1	1_9_16_08	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	0	2_1_08_06	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	0	2_1_10_14	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	0	2_1_12_10	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	0	2_1_16_08	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	1	2_6_08_06	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	1	2_6_10_14	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	1	2_6_12_10	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	1	2_6_16_08	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	1	2_7_08_06	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	1	2_7_10_14	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	1	2_7_12_10	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	1	2_7_16_08	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	1	2_8_08_06	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	1	2_8_10_14	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	1	2_8_12_10	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	1	2_8_16_08	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	1	2_9_08_06	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	1	2_9_10_14	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	1	2_9_12_10	1	{Eungdamrong2007}
{Lucarelli_CellSystems2018}	1	2_9_16_08	1	{Eungdamrong2007}
{Parmar_PCB2019}	1	1_1_08_06	1	{ODea2007}
{Parmar_PCB2019}	1	1_1_10_14	1	{ODea2007}
{Parmar_PCB2019}	1	1_1_12_10	1	{ODea2007}
{Parmar_PCB2019}	1	1_1_16_08	1	{ODea2007}
{Parmar_PCB2019}	1	1_6_08_06	1	{ODea2007}
{Parmar_PCB2019}	1	1_6_10_14	1	{ODea2007}
{Parmar_PCB2019}	1	1_6_12_10	1	{ODea2007}
{Parmar_PCB2019}	1	1_6_16_08	1	{ODea2007}
{Parmar_PCB2019}	1	1_7_08_06	1	{ODea2007}
{Parmar_PCB2019}	1	1_7_10_14	1	{ODea2007}
{Parmar_PCB2019}	1	1_7_12_10	1	{ODea2007}
{Parmar_PCB2019}	1	1_7_16_08	1	{ODea2007}
{Parmar_PCB2019}	1	1_8_08_06	1	{ODea2007}
{Parmar_PCB2019}	1	1_8_10_14	1	{ODea2007}
{Parmar_PCB2019}	1	1_8_12_10	1	{ODea2007}
{Parmar_PCB2019}	1	1_8_16_08	1	{ODea2007}
{Parmar_PCB2019}	1	1_9_08_06	1	{ODea2007}
{Parmar_PCB2019}	1	1_9_10_14	1	{ODea2007}
{Parmar_PCB2019}	1	1_9_12_10	1	{ODea2007}
{Parmar_PCB2019}	1	1_9_16_08	1	{ODea2007}
{Parmar_PCB2019}	1	2_1_08_06	1	{ODea2007}
{Parmar_PCB2019}	1	2_1_10_14	1	{ODea2007}
{Parmar_PCB2019}	1	2_1_12_10	1	{ODea2007}
{Parmar_PCB2019}	1	2_1_16_08	1	{ODea2007}
{Parmar_PCB2019}	1	2_6_08_06	1	{ODea2007}
{Parmar_PCB2019}	1	2_6_10_14	1	{ODea2007}
{Parmar_PCB2019}	1	2_6_12_10	1	{ODea2007}
{Parmar_PCB2019}	1	2_6_16_08	1	{ODea2007}
{Parmar_PCB2019}	1	2_7_08_06	1	{ODea2007}
{Parmar_PCB2019}	1	2_7_10_14	1	{ODea2007}
{Parmar_PCB2019}	1	2_7_12_10	1	{ODea2007}
{Parmar_PCB2019}	1	2_7_16_08	1	{ODea2007}
{Parmar_PCB2019}	1	2_8_08_06	1	{ODea2007}
{Parmar_PCB2019}	1	2_8_10_14	1	{ODea2007}
{Parmar_PCB2019}	1	2_8_12_10	1	{ODea2007}
{Parmar_PCB2019}	1	2_8_16_08	1	{ODea2007}
{Parmar_PCB2019}	1	2_9_08_06	1	{ODea2007}
{Parmar_PCB2019}	1	2_9_10_14	1	{ODea2007}
{Parmar_PCB2019}	1	2_9_12_10	1	{ODea2007}
{Parmar_PCB2019}	1	2_9_16_08	1	{ODea2007}
{Raia_CancerResearch2011}	0	1_1_08_06	1	{Leber2015}
{Raia_CancerResearch2011}	0	1_1_10_14	1	{Leber2015}
