model	num_x	num_r	num_p	p_n	p_l	p_q	p_p	p_e	p_L	p_Q	p_P	p_E	p_o	1_1_08_06	1_1_10_14	1_1_12_10	1_1_16_08	1_6_08_06	1_6_10_14	1_6_12_10	1_6_16_08	1_7_08_06	1_7_10_14	1_7_12_10	1_7_16_08	1_8_08_06	1_8_10_14	1_8_12_10	1_8_16_08	1_9_08_06	1_9_10_14	1_9_12_10	1_9_16_08	2_1_08_06	2_1_10_14	2_1_12_10	2_1_16_08	2_6_08_06	2_6_10_14	2_6_12_10	2_6_16_08	2_7_08_06	2_7_10_14	2_7_12_10	2_7_16_08	2_8_08_06	2_8_10_14	2_8_12_10	2_8_16_08	2_9_08_06	2_9_10_14	2_9_12_10	2_9_16_08
{Sasagawa2005}	99	150	234	0	1	0	0	0	0.006666666666666667	0	0	0	0.1	0.0019814001	0.0	0.0	0.0	0.051773415700000006	0.0449893505	0.0277217997	0.0	0.1134794414	0.0418188446	0.0281331891	0.0438325309	0.0279229363	0.0198736006	0.0139636006	0.0	0.5075174926	0.1100611974	0.058547861	0.1011793595	0.0002904179	0.0	0.0012129761	0.0	0.1513124434	0.0818638448	0.07649966009999999	0.0782442408	0.1771491432	0.10897137429999999	0.0904695883	0.101490587	0.0626300109	0.032741170699999995	0.0305406068	0.0330809808	1.0	0.6958296995000001	0.5690527135	0.619218965
{Sengupta2015}	240	175	272	0	0.46285714285714286	0	0	0	0	0	0	0	0.5371428571428571	0.0	0.0	0.0	0.0	0.7155864839	0.1597986764	0.24936659989999999	0.3271860951	0.6039858565999999	0.2194790439	0.2719068605	0.3327216239	0.38136093579999997	0.1340393383	0.1280052022	0.1625125802	0.5860055003	0.21163593170000003	0.273892187	0.36291327939999996	0.0	0.0	0.0	0.0	1.0	0.25644238760000004	0.3537031967	0.42761973729999997	0.8575992697	0.2494177557	0.3105785124	0.4422406231	0.5113937205	0.1526638058	0.2015819143	0.24548380579999998	0.8634388838	0.30420640530000004	0.39738906409999997	0.4990824359
{Singh2006}	68	72	105	0	0.9305555555555556	0.041666666666666664	0	0	0	0	0	0	0.027777777777777776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0044638549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.25116013940000004	0.3219213368	0.5344529974000001
{Sivakumar2011c}	50	29	56	0	1	0	0	0	0.034482758620689655	0	0	0	0	0.0372842396	0.0362607162	0.032404989	0.0069695202	0.2439798523	0.0793038486	0.0760381051	0.09114576619999999	0.2060365925	0.1077851613	0.08220197139999999	0.09867448029999999	0.120002715	0.0494020342	0.037159250899999996	0.039490289399999996	0.5420818642	0.2071106425	0.1583094556	0.19933479899999998	0.0116715078	0.0424021489	0.0364044435	0.0033070589	0.2962218313	0.1695354078	0.1313423966	0.14898457910000001	0.3194218609	0.1596820809	0.1245377382	0.15276937699999998	0.12382253039999999	0.0769582345	0.0699616161	0.0749851557	1.0	0.4687790004	0.2859222123	0.3841390549
{Ueda2001}	13	32	66	0	0.5	0	0	0	0.09375	0	0	0	0.53125	0.5997344839000001	0.2600374155	0.2841194969	0.4511860175	0.4640472522	0.16449704140000002	0.1603087296	0.24222520109999998	0.4532229747	0.2091677277	0.1725553858	0.2659699735	0.3002658691	0.10305691800000001	0.1039700806	0.1726708075	1.0	0.4335412668	0.4047939068	0.5870695257	0.7883944154000001	0.3552191862	0.29833250780000004	0.5165809034000001	0.37930310659999994	0.1602092384	0.1345996276	0.2166147207	0.3236611141	0.11455559779999999	0.10069096179999999	0.1812982843	0.23485833120000002	0.10465048939999999	0.0889271654	0.1542993767	0.8862187347	0.3785085882	0.329143898	0.559269576
{Ung2008}	194	205	313	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.031036400899999997	0.0	0.0	0.0	0.0332803772	0.007352920799999999	0.0	0.0	0.012757333000000001	0.0033698787	0.0	0.008052770400000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0857901967	0.04792395	0.0574022181	0.0423286335	0.0775715149	0.0395402788	0.04193309	0.0375137089	0.0132652769	0.0100567136	0.0126415023	0.011526070800000001	1.0	0.3835644175	0.2762492709	0.3996242943
{Yang2007}	25	32	54	0	1	0	0	0	0.40625	0	0	0	0.4375	0.0	0.0	0.0	0.0	0.0131482607	0.0	0.0	0.0	0.0154053753	0.0	0.0	0.0	0.0043240744	0.0	0.0	0.0	0.1354568919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0266627808	0.0021690841	0.0030936097999999996	0.0024224789000000004	0.030229017200000003	0.0048015512	0.009321653499999999	0.008166790699999999	0.007415789200000001	0.0005330528	0.0011166867	0.0009518957	1.0	0.3949364135	0.4217805744	0.46070091869999996
{aguda1999_fig5c}	12	27	32	0.18518518518518517	0.7037037037037037	0.037037037037037035	0	0	0.07407407407407407	0	0	0	0	0.048336454800000005	0.10371114529999999	0.057075645599999995	0.08520520460000001	0.6712136665	0.2594362866	0.2320303204	0.3479381443	0.7020936125	0.3344768439	0.31893627329999996	0.43411939310000003	0.48458352509999997	0.20470451010000001	0.19262430030000002	0.2627901173	0.958841741	0.37582982369999995	0.364410299	0.5882681564	0.037278558999999996	0.1188487585	0.058271446399999996	0.0754925296	0.7445905812000001	0.2787926926	0.2658285368	0.5061526628999999	0.5372997245000001	0.329845884	0.2555577128	0.4611140305	0.5101249878999999	0.20804520489999997	0.20160827109999999	0.33838935659999997	1.0	0.4560415764	0.40157119979999994	0.6756930185
{alexander2010_fig2-user}	5	12	12	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.9734093067	0.3242986712	0.6663055255	0.8473408653	1.0	0.4472076789	0.6527276586999999	0.8226324237999999	0.9909764744	0.27990169309999996	0.590437788	0.7388274868000001	0.8933759442	0.4766702837	0.7884615384999999	0.8447802198000001	0.0	0.0	0.0	0.0	0.9928963513	0.2067226891	0.5796418473	0.8045525903	0.9900193173999999	0.2012171182	0.5976676385	0.767982018	0.9957901554	0.1740828804	0.5009775171	0.6955439945999999	0.9481961147	0.26961858829999996	0.7055988986	0.8659532526
{alexander2010_fig2-user-2}	5	12	13	0	1	0	0	0	0.16666666666666666	0	0	0	0	0.0	0.0013786782999999998	0.0	0.0	0.9724072312	0.2907539118	0.6380853278	0.8106821787	0.8805284319	0.4046990496	0.6596385542000001	0.7829417773	0.8800229621	0.2454174338	0.5735129068	0.7214117647	0.8858711355	0.4841307437	0.7412959381	0.8257473741	0.0	0.0006701909	0.0	0.0	1.0	0.20372093019999998	0.5370467683	0.8434662999	0.9081753555	0.19722115010000002	0.5977773445000001	0.707919649	0.9022954679	0.1773689691	0.5463292944	0.7412959381	0.914950761	0.25355607010000003	0.712857475	0.8326996198000001
{alsheihk2011_fig3-user}	5	10	7	0.1	0.9	0	0	0	0	0	0	0	0	0.825	0.3360736196	0.5288665765999999	0.6849212303	1.0	0.34829603259999997	0.6266300618	0.7978444509	0.9573575673	0.45377733600000003	0.642505278	0.7950653120000001	0.8992120814	0.31125	0.5640444810999999	0.7257551669	0.8451095341	0.4975476839	0.6999744442	0.7819012275	0.7003323958	0.3124215809	0.5218136788000001	0.6432597464	0.9934711643	0.2632894357	0.5439920556	0.7633779264	0.9191275168	0.2375542064	0.5046987286	0.71328125	0.8858344114	0.2243243243	0.44377835390000003	0.6322714681	0.8599686028	0.3028192371	0.5927288465999999	0.7629526462
{alsheihk2011_fig4-user}	5	10	7	0.1	0.9	0	0	0	0	0	0	0	0	0.8231892879	0.3310893513	0.5219992281	0.6782848546	1.0	0.33859056200000004	0.6181444240999999	0.7897810219	0.9487898982999999	0.4485903814	0.6381221986	0.7822440717	0.8918562479000001	0.30592626100000003	0.5595779892	0.7064507704	0.8432044888	0.4838132713	0.6914621676999999	0.7761836442	0.8021945433	0.30578792670000005	0.5185966258	0.6529085204	0.9786541245	0.2589260075	0.5372393247	0.7557977089	0.8939193655	0.2336933045	0.5107628399	0.7042436865	0.8562836341	0.2194904252	0.4308697037	0.6273191095	0.8603689567	0.3014935354	0.5851178888	0.7609001406
{alsheihk2011_fig5-user}	5	10	7	0.1	0.9	0	0	0	0	0	0	0	0	0.8746073298	0.3840229885	0.454372365	0.4734306362	1.0	0.40639824840000005	0.4916127134	0.697640426	0.9622695853000001	0.5079051383	0.6704796307	0.7160308616	0.9005390836	0.38147978990000003	0.4361618799	0.5828681089	0.9849646226000001	0.5939555556	0.7496073592	0.8430481958	0.8714136672	0.3650568182	0.4461209774	0.4240924092	0.9979091995	0.3366925325	0.41622025659999995	0.7041095890000001	0.5364482979999999	0.3109932049	0.4017073464	0.6696732812	0.9145907473	0.2703074434	0.3710161022	0.6211191671	0.4695053401	0.3919521351	0.4739007092	0.8586481624
